NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,GJOIN2012,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2012,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA125,AV0AA125M
"G4100010950100",,,"G41000109501","G4100010950100","G4100010950100","G4100010950100","Oregon","41","410","Baker County","001","0010","950100",,,"BNA 9501","Census Tract 9501","Census Tract 9501","Census Tract 9501, Baker County, Oregon",,,2495,2928,2761,2733,221
"G4100010950200",,,"G41000109502","G4100010950200","G4100010950200","G4100010950200","Oregon","41","410","Baker County","001","0010","950200",,,"BNA 9502","Census Tract 9502","Census Tract 9502","Census Tract 9502, Baker County, Oregon",,,2936,3291,3145,3170,290
"G4100010950300",,,"G41000109503","G4100010950300","G4100010950300","G4100010950300","Oregon","41","410","Baker County","001","0010","950300",,,"BNA 9503","Census Tract 9503","Census Tract 9503","Census Tract 9503, Baker County, Oregon",,,2641,2793,2648,2363,299
"G4100010950400",,,"G41000109504","G4100010950400","G4100010950400","G4100010950400","Oregon","41","410","Baker County","001","0010","950400",,,"BNA 9504","Census Tract 9504","Census Tract 9504","Census Tract 9504, Baker County, Oregon",,,2573,2858,3026,3040,232
"G4100010950500",,,"G41000109505","G4100010950500","G4100010950500","G4100010950500","Oregon","41","410","Baker County","001","0010","950500",,,"BNA 9505","Census Tract 9505","Census Tract 9505","Census Tract 9505, Baker County, Oregon",,,2568,2654,2630,3011,224
"G4100010950600",,,"G41000109506","G4100010950600","G4100010950600","G4100010950600","Oregon","41","410","Baker County","001","0010","950600",,,"BNA 9506","Census Tract 9506","Census Tract 9506","Census Tract 9506, Baker County, Oregon",,,2104,2217,1924,1775,163
"G4100010990100",,"G41000109901",,,,,"Oregon","41","410","Baker County","001","0010","990100",,"State: 41 County: 001 Tract: 9901",,,,,,4210,,,,,
"G4100010990200",,"G41000109902",,,,,"Oregon","41","410","Baker County","001","0010","990200",,"State: 41 County: 001 Tract: 9902",,,,,,3226,,,,,
"G4100010990300",,"G41000109903",,,,,"Oregon","41","410","Baker County","001","0010","990300",,"State: 41 County: 001 Tract: 9903",,,,,,2035,,,,,
"G4100030000100",,"G41000300001","G41000300001","G4100030000100","G4100030000100","G4100030000100","Oregon","41","410","Benton County","003","0030","000100",,"State: 41 County: 003 Tract: 1","Tract 1","Census Tract 1","Census Tract 1","Census Tract 1, Benton County, Oregon",,3984,4703,5424,7059,7333,463
"G4100030000200",,"G41000300002","G41000300002","G4100030000200",,,"Oregon","41","410","Benton County","003","0030","000200",,"State: 41 County: 003 Tract: 2","Tract 2","Census Tract 2",,,,1872,2082,4192,,,
"G4100030000202",,,,,"G4100030000202","G4100030000202","Oregon","41","410","Benton County","003","0030","000202",,,,,"Census Tract 2.02","Census Tract 2.02, Benton County, Oregon",,,,,5234,5014,420
"G4100030000300",,"G41000300003","G41000300003","G4100030000300",,,"Oregon","41","410","Benton County","003","0030","000300",,"State: 41 County: 003 Tract: 3","Tract 3","Census Tract 3",,,,2291,2289,3137,,,
"G4100030000400",,"G41000300004","G41000300004","G4100030000400","G4100030000400","G4100030000400","Oregon","41","410","Benton County","003","0030","000400",,"State: 41 County: 003 Tract: 4","Tract 4","Census Tract 4","Census Tract 4","Census Tract 4, Benton County, Oregon",,5379,6164,7240,7820,7748,397
"G4100030000500",,"G41000300005","G41000300005","G4100030000500","G4100030000500","G4100030000500","Oregon","41","410","Benton County","003","0030","000500",,"State: 41 County: 003 Tract: 5","Tract 5","Census Tract 5","Census Tract 5","Census Tract 5, Benton County, Oregon",,2919,3103,3135,3141,3155,286
"G4100030000600",,"G41000300006","G41000300006","G4100030000600","G4100030000600","G4100030000600","Oregon","41","410","Benton County","003","0030","000600",,"State: 41 County: 003 Tract: 6","Tract 6","Census Tract 6","Census Tract 6","Census Tract 6, Benton County, Oregon",,3205,3588,5078,4845,5292,324
"G4100030000700",,"G41000300007","G41000300007","G4100030000700",,,"Oregon","41","410","Benton County","003","0030","000700",,"State: 41 County: 003 Tract: 7","Tract 7","Census Tract 7",,,,1219,1268,1172,,,
"G4100030000800",,"G41000300008","G41000300008",,,,"Oregon","41","410","Benton County","003","0030","000800",,"State: 41 County: 003 Tract: 8","Tract 8",,,,,7841,7536,,,,
"G4100030000801",,,,"G4100030000801",,,"Oregon","41","410","Benton County","003","0030","000801",,,,"Census Tract 8.01",,,,,,3145,,,
"G4100030000802",,,,"G4100030000802",,,"Oregon","41","410","Benton County","003","0030","000802",,,,"Census Tract 8.02",,,,,,3851,,,
"G4100030000900",,"G41000300009","G41000300009","G4100030000900","G4100030000900","G4100030000900","Oregon","41","410","Benton County","003","0030","000900",,"State: 41 County: 003 Tract: 9","Tract 9","Census Tract 9","Census Tract 9","Census Tract 9, Benton County, Oregon",,4716,5057,5597,5438,5518,471
"G4100030001000",,"G41000300010","G41000300010",,,,"Oregon","41","410","Benton County","003","0030","001000",,"State: 41 County: 003 Tract: 10","Tract 10",,,,,6804,6975,,,,
"G4100030001001",,,,"G4100030001001","G4100030001001","G4100030001001","Oregon","41","410","Benton County","003","0030","001001",,,,"Census Tract 10.01","Census Tract 10.01","Census Tract 10.01, Benton County, Oregon",,,,3970,3872,4381,413
"G4100030001002",,,,"G4100030001002","G4100030001002","G4100030001002","Oregon","41","410","Benton County","003","0030","001002",,,,"Census Tract 10.02","Census Tract 10.02","Census Tract 10.02, Benton County, Oregon",,,,3172,3159,2989,297
"G4100030001100",,"G41000300011","G41000300011",,,,"Oregon","41","410","Benton County","003","0030","001100",,"State: 41 County: 003 Tract: 11","Tract 11",,,,,8775,8825,,,,
"G4100030001101",,,,"G4100030001101","G4100030001101","G4100030001101","Oregon","41","410","Benton County","003","0030","001101",,,,"Census Tract 11.01","Census Tract 11.01","Census Tract 11.01, Benton County, Oregon",,,,3298,3662,3357,409
"G4100030001102",,,,"G4100030001102","G4100030001102","G4100030001102","Oregon","41","410","Benton County","003","0030","001102",,,,"Census Tract 11.02","Census Tract 11.02","Census Tract 11.02, Benton County, Oregon",,,,4539,4519,4356,539
"G4100030010100",,"G41000300101","G41000300101","G4100030010100","G4100030010100","G4100030010100","Oregon","41","410","Benton County","003","0030","010100",,"State: 41 County: 003 Tract: 101","Tract 101","Census Tract 101","Census Tract 101","Census Tract 101, Benton County, Oregon",,5976,5767,6984,8519,8264,307
"G4100030010200",,"G41000300102","G41000300102","G4100030010200","G4100030010200","G4100030010200","Oregon","41","410","Benton County","003","0030","010200",,"State: 41 County: 003 Tract: 102","Tract 102","Census Tract 102","Census Tract 102","Census Tract 102, Benton County, Oregon",,3286,3466,3733,4090,4089,224
"G4100030010300",,"G41000300103","G41000300103","G4100030010300","G4100030010300","G4100030010300","Oregon","41","410","Benton County","003","0030","010300",,"State: 41 County: 003 Tract: 103","Tract 103","Census Tract 103","Census Tract 103","Census Tract 103, Benton County, Oregon",,3305,3303,3310,3203,3154,248
"G4100030010400",,"G41000300104","G41000300104","G4100030010400","G4100030010400","G4100030010400","Oregon","41","410","Benton County","003","0030","010400",,"State: 41 County: 003 Tract: 104","Tract 104","Census Tract 104","Census Tract 104","Census Tract 104, Benton County, Oregon",,3613,3509,3681,3808,3919,298
"G4100030010500",,"G41000300105","G41000300105","G4100030010500",,,"Oregon","41","410","Benton County","003","0030","010500",,"State: 41 County: 003 Tract: 105","Tract 105","Census Tract 105",,,,3026,3176,3495,,,
"G4100030010600",,,,,"G4100030010600","G4100030010600","Oregon","41","410","Benton County","003","0030","010600",,,,,"Census Tract 106","Census Tract 106, Benton County, Oregon",,,,,5507,5483,494
"G4100030010702",,,,,"G4100030010702","G4100030010702","Oregon","41","410","Benton County","003","0030","010702",,,,,"Census Tract 107.02","Census Tract 107.02, Benton County, Oregon",,,,,3645,3207,438
"G4100030010800",,,,,"G4100030010800","G4100030010800","Oregon","41","410","Benton County","003","0030","010800",,,,,"Census Tract 108","Census Tract 108, Benton County, Oregon",,,,,3455,3768,349
"G4100030010900",,,,,"G4100030010900","G4100030010900","Oregon","41","410","Benton County","003","0030","010900",,,,,"Census Tract 109","Census Tract 109, Benton County, Oregon",,,,,4603,4474,327
"G4100050020100","G41000500201","G41000500201","G41000500201","G4100050020100","G4100050020100","G4100050020100","Oregon","41","410","Clackamas County","005","0050","020100","Tract  201","State: 41 County: 005 Tract: 201","Tract 201","Census Tract 201","Census Tract 201","Census Tract 201, Clackamas County, Oregon",3729,3754,3830,3878,3870,3973,300
"G4100050020200","G41000500202","G41000500202","G41000500202","G4100050020200","G4100050020200","G4100050020200","Oregon","41","410","Clackamas County","005","0050","020200","Tract  202","State: 41 County: 005 Tract: 202","Tract 202","Census Tract 202","Census Tract 202","Census Tract 202, Clackamas County, Oregon",4844,4890,5654,5998,6193,6071,432
"G4100050020300","G41000500203",,,,,,"Oregon","41","410","Clackamas County","005","0050","020300","Tract  203",,,,,,3872,,,,,,
"G4100050020301",,"G4100050020301","G4100050020301",,,,"Oregon","41","410","Clackamas County","005","0050","020301",,"State: 41 County: 005 Tract: 203.01","Tract 203.01",,,,,3894,7857,,,,
"G4100050020302",,"G4100050020302","G4100050020302","G4100050020302","G4100050020302","G4100050020302","Oregon","41","410","Clackamas County","005","0050","020302",,"State: 41 County: 005 Tract: 203.02","Tract 203.02","Census Tract 203.02","Census Tract 203.02","Census Tract 203.02, Clackamas County, Oregon",,2496,3197,3578,3591,3777,278
"G4100050020303",,,,"G4100050020303","G4100050020303","G4100050020303","Oregon","41","410","Clackamas County","005","0050","020303",,,,"Census Tract 203.03","Census Tract 203.03","Census Tract 203.03, Clackamas County, Oregon",,,,5162,5275,5186,419
"G4100050020304",,,,"G4100050020304","G4100050020304","G4100050020304","Oregon","41","410","Clackamas County","005","0050","020304",,,,"Census Tract 203.04","Census Tract 203.04","Census Tract 203.04, Clackamas County, Oregon",,,,5701,5438,5763,294
"G4100050020400","G41000500204",,,,,,"Oregon","41","410","Clackamas County","005","0050","020400","Tract  204",,,,,,7799,,,,,,
"G4100050020401",,"G4100050020401","G4100050020401","G4100050020401","G4100050020401","G4100050020401","Oregon","41","410","Clackamas County","005","0050","020401",,"State: 41 County: 005 Tract: 204.01","Tract 204.01","Census Tract 204.01","Census Tract 204.01","Census Tract 204.01, Clackamas County, Oregon",,5536,5112,5169,5059,4809,369
"G4100050020402",,"G4100050020402","G4100050020402","G4100050020402",,,"Oregon","41","410","Clackamas County","005","0050","020402",,"State: 41 County: 005 Tract: 204.02","Tract 204.02","Census Tract 204.02",,,,5927,7537,7345,,,
"G4100050020403",,,,,"G4100050020403","G4100050020403","Oregon","41","410","Clackamas County","005","0050","020403",,,,,"Census Tract 204.03","Census Tract 204.03, Clackamas County, Oregon",,,,,3628,3845,305
"G4100050020404",,,,,"G4100050020404","G4100050020404","Oregon","41","410","Clackamas County","005","0050","020404",,,,,"Census Tract 204.04","Census Tract 204.04, Clackamas County, Oregon",,,,,3708,3311,311
"G4100050020500","G41000500205",,,,,,"Oregon","41","410","Clackamas County","005","0050","020500","Tract  205",,,,,,6328,,,,,,
"G4100050020501",,"G4100050020501","G4100050020501","G4100050020501","G4100050020501","G4100050020501","Oregon","41","410","Clackamas County","005","0050","020501",,"State: 41 County: 005 Tract: 205.01","Tract 205.01","Census Tract 205.01","Census Tract 205.01","Census Tract 205.01, Clackamas County, Oregon",,3207,2309,4465,6921,6878,490
"G4100050020502",,"G4100050020502","G4100050020502","G4100050020502",,,"Oregon","41","410","Clackamas County","005","0050","020502",,"State: 41 County: 005 Tract: 205.02","Tract 205.02","Census Tract 205.02",,,,7143,10156,8856,,,
"G4100050020503",,,,"G4100050020503","G4100050020503","G4100050020503","Oregon","41","410","Clackamas County","005","0050","020503",,,,"Census Tract 205.03","Census Tract 205.03","Census Tract 205.03, Clackamas County, Oregon",,,,2271,2339,2250,154
"G4100050020504",,,,,"G4100050020504","G4100050020504","Oregon","41","410","Clackamas County","005","0050","020504",,,,,"Census Tract 205.04","Census Tract 205.04, Clackamas County, Oregon",,,,,6316,6266,516
"G4100050020505",,,,,"G4100050020505","G4100050020505","Oregon","41","410","Clackamas County","005","0050","020505",,,,,"Census Tract 205.05","Census Tract 205.05, Clackamas County, Oregon",,,,,2661,2964,191
"G4100050020600","G41000500206","G41000500206","G41000500206","G4100050020600","G4100050020600","G4100050020600","Oregon","41","410","Clackamas County","005","0050","020600","Tract  206","State: 41 County: 005 Tract: 206","Tract 206","Census Tract 206","Census Tract 206","Census Tract 206, Clackamas County, Oregon",3121,4149,5430,7119,7814,7934,546
"G4100050020700","G41000500207","G41000500207","G41000500207","G4100050020700","G4100050020700","G4100050020700","Oregon","41","410","Clackamas County","005","0050","020700","Tract  207","State: 41 County: 005 Tract: 207","Tract 207","Census Tract 207","Census Tract 207","Census Tract 207, Clackamas County, Oregon",1495,2393,2784,3789,3781,3782,355
"G4100050020800","G41000500208","G41000500208","G41000500208","G4100050020800","G4100050020800","G4100050020800","Oregon","41","410","Clackamas County","005","0050","020800","Tract  208","State: 41 County: 005 Tract: 208","Tract 208","Census Tract 208","Census Tract 208","Census Tract 208, Clackamas County, Oregon",3580,3772,3732,3927,3989,4482,351
"G4100050020900","G41000500209","G41000500209","G41000500209","G4100050020900","G4100050020900","G4100050020900","Oregon","41","410","Clackamas County","005","0050","020900","Tract  209","State: 41 County: 005 Tract: 209","Tract 209","Census Tract 209","Census Tract 209","Census Tract 209, Clackamas County, Oregon",4232,3830,3709,3858,3799,3495,250
"G4100050021000","G41000500210","G41000500210","G41000500210","G4100050021000","G4100050021000","G4100050021000","Oregon","41","410","Clackamas County","005","0050","021000","Tract  210","State: 41 County: 005 Tract: 210","Tract 210","Census Tract 210","Census Tract 210","Census Tract 210, Clackamas County, Oregon",4616,4777,4342,4628,4509,4211,299
"G4100050021100","G41000500211","G41000500211","G41000500211","G4100050021100","G4100050021100","G4100050021100","Oregon","41","410","Clackamas County","005","0050","021100","Tract  211","State: 41 County: 005 Tract: 211","Tract 211","Census Tract 211","Census Tract 211","Census Tract 211, Clackamas County, Oregon",4614,5222,5302,5576,5424,5814,366
"G4100050021200","G41000500212","G41000500212","G41000500212","G4100050021200","G4100050021200","G4100050021200","Oregon","41","410","Clackamas County","005","0050","021200","Tract  212","State: 41 County: 005 Tract: 212","Tract 212","Census Tract 212","Census Tract 212","Census Tract 212, Clackamas County, Oregon",3135,3616,3812,3837,3859,4294,423
"G4100050021300","G41000500213","G41000500213","G41000500213","G4100050021300","G4100050021300","G4100050021300","Oregon","41","410","Clackamas County","005","0050","021300","Tract  213","State: 41 County: 005 Tract: 213","Tract 213","Census Tract 213","Census Tract 213","Census Tract 213, Clackamas County, Oregon",4599,5245,5546,5449,5937,6400,433
"G4100050021400","G41000500214","G41000500214","G41000500214","G4100050021400","G4100050021400","G4100050021400","Oregon","41","410","Clackamas County","005","0050","021400","Tract  214","State: 41 County: 005 Tract: 214","Tract 214","Census Tract 214","Census Tract 214","Census Tract 214, Clackamas County, Oregon",3295,4138,4305,4788,4719,4838,505
"G4100050021500","G41000500215","G41000500215","G41000500215","G4100050021500","G4100050021500","G4100050021500","Oregon","41","410","Clackamas County","005","0050","021500","Tract  215","State: 41 County: 005 Tract: 215","Tract 215","Census Tract 215","Census Tract 215","Census Tract 215, Clackamas County, Oregon",2690,3695,4175,4309,4927,5060,266
"G4100050021600","G41000500216",,,,,,"Oregon","41","410","Clackamas County","005","0050","021600","Tract  216",,,,,,6970,,,,,,
"G4100050021601",,"G4100050021601","G4100050021601","G4100050021601","G4100050021601","G4100050021601","Oregon","41","410","Clackamas County","005","0050","021601",,"State: 41 County: 005 Tract: 216.01","Tract 216.01","Census Tract 216.01","Census Tract 216.01","Census Tract 216.01, Clackamas County, Oregon",,4020,4221,5800,5951,5006,482
"G4100050021602",,"G4100050021602","G4100050021602","G4100050021602","G4100050021602","G4100050021602","Oregon","41","410","Clackamas County","005","0050","021602",,"State: 41 County: 005 Tract: 216.02","Tract 216.02","Census Tract 216.02","Census Tract 216.02","Census Tract 216.02, Clackamas County, Oregon",,3667,4109,4926,4924,5273,613
"G4100050021700","G41000500217","G41000500217","G41000500217","G4100050021700","G4100050021700","G4100050021700","Oregon","41","410","Clackamas County","005","0050","021700","Tract  217","State: 41 County: 005 Tract: 217","Tract 217","Census Tract 217","Census Tract 217","Census Tract 217, Clackamas County, Oregon",4077,4755,4893,6141,6082,6006,647
"G4100050021800","G41000500218","G41000500218","G41000500218",,,,"Oregon","41","410","Clackamas County","005","0050","021800","Tract  218","State: 41 County: 005 Tract: 218","Tract 218",,,,5250,8667,8691,,,,
"G4100050021801",,,,"G4100050021801","G4100050021801","G4100050021801","Oregon","41","410","Clackamas County","005","0050","021801",,,,"Census Tract 218.01","Census Tract 218.01","Census Tract 218.01, Clackamas County, Oregon",,,,5113,5612,5383,360
"G4100050021802",,,,"G4100050021802","G4100050021802","G4100050021802","Oregon","41","410","Clackamas County","005","0050","021802",,,,"Census Tract 218.02","Census Tract 218.02","Census Tract 218.02, Clackamas County, Oregon",,,,4059,4300,4168,423
"G4100050021900","G41000500219","G41000500219","G41000500219","G4100050021900","G4100050021900","G4100050021900","Oregon","41","410","Clackamas County","005","0050","021900","Tract  219","State: 41 County: 005 Tract: 219","Tract 219","Census Tract 219","Census Tract 219","Census Tract 219, Clackamas County, Oregon",2453,2672,2761,3257,3515,3788,314
"G4100050022000","G41000500220","G41000500220","G41000500220","G4100050022000","G4100050022000","G4100050022000","Oregon","41","410","Clackamas County","005","0050","022000","Tract  220","State: 41 County: 005 Tract: 220","Tract 220","Census Tract 220","Census Tract 220","Census Tract 220, Clackamas County, Oregon",4095,6201,6203,6397,6412,6384,398
"G4100050022100","G41000500221",,,,,,"Oregon","41","410","Clackamas County","005","0050","022100","Tract  221",,,,,,6809,,,,,,
"G4100050022101",,"G4100050022101","G4100050022101","G4100050022101","G4100050022101","G4100050022101","Oregon","41","410","Clackamas County","005","0050","022101",,"State: 41 County: 005 Tract: 221.01","Tract 221.01","Census Tract 221.01","Census Tract 221.01","Census Tract 221.01, Clackamas County, Oregon",,5903,6329,6569,6592,7370,619
"G4100050022102",,"G4100050022102","G4100050022102",,,,"Oregon","41","410","Clackamas County","005","0050","022102",,"State: 41 County: 005 Tract: 221.02","Tract 221.02",,,,,4637,7282,,,,
"G4100050022103",,,,"G4100050022103","G4100050022103","G4100050022103","Oregon","41","410","Clackamas County","005","0050","022103",,,,"Census Tract 221.03","Census Tract 221.03","Census Tract 221.03, Clackamas County, Oregon",,,,4013,5827,6379,419
"G4100050022104",,,,"G4100050022104",,,"Oregon","41","410","Clackamas County","005","0050","022104",,,,"Census Tract 221.04",,,,,,11842,,,
"G4100050022105",,,,,"G4100050022105","G4100050022105","Oregon","41","410","Clackamas County","005","0050","022105",,,,,"Census Tract 221.05","Census Tract 221.05, Clackamas County, Oregon",,,,,6054,5982,380
"G4100050022107",,,,,"G4100050022107","G4100050022107","Oregon","41","410","Clackamas County","005","0050","022107",,,,,"Census Tract 221.07","Census Tract 221.07, Clackamas County, Oregon",,,,,3685,3693,530
"G4100050022108",,,,,"G4100050022108","G4100050022108","Oregon","41","410","Clackamas County","005","0050","022108",,,,,"Census Tract 221.08","Census Tract 221.08, Clackamas County, Oregon",,,,,2898,2433,410
"G4100050022200","G41000500222",,,,,,"Oregon","41","410","Clackamas County","005","0050","022200","Tract  222",,,,,,5539,,,,,,
"G4100050022201",,"G4100050022201","G4100050022201","G4100050022201","G4100050022201","G4100050022201","Oregon","41","410","Clackamas County","005","0050","022201",,"State: 41 County: 005 Tract: 222.01","Tract 222.01","Census Tract 222.01","Census Tract 222.01","Census Tract 222.01, Clackamas County, Oregon",,1526,2913,4587,4779,4871,485
"G4100050022202",,"G4100050022202","G4100050022202",,,,"Oregon","41","410","Clackamas County","005","0050","022202",,"State: 41 County: 005 Tract: 222.02","Tract 222.02",,,,,5572,7470,,,,
"G4100050022203",,,,"G4100050022203",,,"Oregon","41","410","Clackamas County","005","0050","022203",,,,"Census Tract 222.03",,,,,,5999,,,
"G4100050022204",,,,"G4100050022204",,,"Oregon","41","410","Clackamas County","005","0050","022204",,,,"Census Tract 222.04",,,,,,6292,,,
"G4100050022205",,,,,"G4100050022205","G4100050022205","Oregon","41","410","Clackamas County","005","0050","022205",,,,,"Census Tract 222.05","Census Tract 222.05, Clackamas County, Oregon",,,,,3339,3142,317
"G4100050022206",,,,,"G4100050022206","G4100050022206","Oregon","41","410","Clackamas County","005","0050","022206",,,,,"Census Tract 222.06","Census Tract 222.06, Clackamas County, Oregon",,,,,6412,6236,501
"G4100050022207",,,,,"G4100050022207","G4100050022207","Oregon","41","410","Clackamas County","005","0050","022207",,,,,"Census Tract 222.07","Census Tract 222.07, Clackamas County, Oregon",,,,,5095,5063,376
"G4100050022208",,,,,"G4100050022208","G4100050022208","Oregon","41","410","Clackamas County","005","0050","022208",,,,,"Census Tract 222.08","Census Tract 222.08, Clackamas County, Oregon",,,,,6062,6172,553
"G4100050022300","G41000500223","G41000500223","G41000500223","G4100050022300",,,"Oregon","41","410","Clackamas County","005","0050","022300","Tract  223","State: 41 County: 005 Tract: 223","Tract 223","Census Tract 223",,,4161,5804,6802,7823,,,
"G4100050022301",,,,,"G4100050022301","G4100050022301","Oregon","41","410","Clackamas County","005","0050","022301",,,,,"Census Tract 223.01","Census Tract 223.01, Clackamas County, Oregon",,,,,3867,3578,298
"G4100050022302",,,,,"G4100050022302","G4100050022302","Oregon","41","410","Clackamas County","005","0050","022302",,,,,"Census Tract 223.02","Census Tract 223.02, Clackamas County, Oregon",,,,,5274,5445,495
"G4100050022400","G41000500224","G41000500224","G41000500224","G4100050022400","G4100050022400","G4100050022400","Oregon","41","410","Clackamas County","005","0050","022400","Tract  224","State: 41 County: 005 Tract: 224","Tract 224","Census Tract 224","Census Tract 224","Census Tract 224, Clackamas County, Oregon",4121,3838,3898,4124,3968,4058,320
"G4100050022500","G41000500225","G41000500225","G41000500225","G4100050022500","G4100050022500","G4100050022500","Oregon","41","410","Clackamas County","005","0050","022500","Tract  225","State: 41 County: 005 Tract: 225","Tract 225","Census Tract 225","Census Tract 225","Census Tract 225, Clackamas County, Oregon",4425,6434,6856,7865,7756,8011,500
"G4100050022600","G41000500226","G41000500226","G41000500226",,,,"Oregon","41","410","Clackamas County","005","0050","022600","Tract  226","State: 41 County: 005 Tract: 226","Tract 226",,,,2938,8487,8658,,,,
"G4100050022601",,,,"G4100050022601",,,"Oregon","41","410","Clackamas County","005","0050","022601",,,,"Census Tract 226.01",,,,,,10791,,,
"G4100050022602",,,,"G4100050022602","G4100050022602","G4100050022602","Oregon","41","410","Clackamas County","005","0050","022602",,,,"Census Tract 226.02","Census Tract 226.02","Census Tract 226.02, Clackamas County, Oregon",,,,3563,4171,4087,295
"G4100050022603",,,,,"G4100050022603","G4100050022603","Oregon","41","410","Clackamas County","005","0050","022603",,,,,"Census Tract 226.03","Census Tract 226.03, Clackamas County, Oregon",,,,,3239,3021,302
"G4100050022605",,,,,"G4100050022605","G4100050022605","Oregon","41","410","Clackamas County","005","0050","022605",,,,,"Census Tract 226.05","Census Tract 226.05, Clackamas County, Oregon",,,,,7363,7823,468
"G4100050022606",,,,,"G4100050022606","G4100050022606","Oregon","41","410","Clackamas County","005","0050","022606",,,,,"Census Tract 226.06","Census Tract 226.06, Clackamas County, Oregon",,,,,4342,4159,357
"G4100050022700","G41000500227",,,,,,"Oregon","41","410","Clackamas County","005","0050","022700","Tract  227",,,,,,4144,,,,,,
"G4100050022701",,"G4100050022701","G4100050022701",,,,"Oregon","41","410","Clackamas County","005","0050","022701",,"State: 41 County: 005 Tract: 227.01","Tract 227.01",,,,,4012,7429,,,,
"G4100050022702",,"G4100050022702","G4100050022702","G4100050022702","G4100050022702","G4100050022702","Oregon","41","410","Clackamas County","005","0050","022702",,"State: 41 County: 005 Tract: 227.02","Tract 227.02","Census Tract 227.02","Census Tract 227.02","Census Tract 227.02, Clackamas County, Oregon",,2659,4553,6334,6685,6794,513
"G4100050022703",,,,"G4100050022703",,,"Oregon","41","410","Clackamas County","005","0050","022703",,,,"Census Tract 227.03",,,,,,7269,,,
"G4100050022704",,,,"G4100050022704",,,"Oregon","41","410","Clackamas County","005","0050","022704",,,,"Census Tract 227.04",,,,,,6167,,,
"G4100050022707",,,,,"G4100050022707","G4100050022707","Oregon","41","410","Clackamas County","005","0050","022707",,,,,"Census Tract 227.07","Census Tract 227.07, Clackamas County, Oregon",,,,,3835,4004,353
"G4100050022708",,,,,"G4100050022708","G4100050022708","Oregon","41","410","Clackamas County","005","0050","022708",,,,,"Census Tract 227.08","Census Tract 227.08, Clackamas County, Oregon",,,,,4175,4444,260
"G4100050022710",,,,,"G4100050022710","G4100050022710","Oregon","41","410","Clackamas County","005","0050","022710",,,,,"Census Tract 227.10","Census Tract 227.10, Clackamas County, Oregon",,,,,2570,2710,274
"G4100050022800","G41000500228","G41000500228","G41000500228","G4100050022800","G4100050022800","G4100050022800","Oregon","41","410","Clackamas County","005","0050","022800","Tract  228","State: 41 County: 005 Tract: 228","Tract 228","Census Tract 228","Census Tract 228","Census Tract 228, Clackamas County, Oregon",2384,2364,3443,4121,3977,4065,389
"G4100050022900","G41000500229","G41000500229","G41000500229",,,,"Oregon","41","410","Clackamas County","005","0050","022900","Tract  229","State: 41 County: 005 Tract: 229","Tract 229",,,,3813,9642,11034,,,,
"G4100050022901",,,,"G4100050022901","G4100050022901","G4100050022901","Oregon","41","410","Clackamas County","005","0050","022901",,,,"Census Tract 229.01","Census Tract 229.01","Census Tract 229.01, Clackamas County, Oregon",,,,2174,3481,3363,278
"G4100050022902",,,,"G4100050022902",,,"Oregon","41","410","Clackamas County","005","0050","022902",,,,"Census Tract 229.02",,,,,,6474,,,
"G4100050022903",,,,"G4100050022903",,,"Oregon","41","410","Clackamas County","005","0050","022903",,,,"Census Tract 229.03",,,,,,6488,,,
"G4100050022904",,,,,"G4100050022904","G4100050022904","Oregon","41","410","Clackamas County","005","0050","022904",,,,,"Census Tract 229.04","Census Tract 229.04, Clackamas County, Oregon",,,,,3611,3598,364
"G4100050022905",,,,,"G4100050022905","G4100050022905","Oregon","41","410","Clackamas County","005","0050","022905",,,,,"Census Tract 229.05","Census Tract 229.05, Clackamas County, Oregon",,,,,4092,3915,322
"G4100050022906",,,,,"G4100050022906","G4100050022906","Oregon","41","410","Clackamas County","005","0050","022906",,,,,"Census Tract 229.06","Census Tract 229.06, Clackamas County, Oregon",,,,,2950,2785,303
"G4100050022907",,,,,"G4100050022907","G4100050022907","Oregon","41","410","Clackamas County","005","0050","022907",,,,,"Census Tract 229.07","Census Tract 229.07, Clackamas County, Oregon",,,,,4227,4398,450
"G4100050023000","G41000500230","G41000500230","G41000500230","G4100050023000",,,"Oregon","41","410","Clackamas County","005","0050","023000","Tract  230","State: 41 County: 005 Tract: 230","Tract 230","Census Tract 230",,,2420,6223,7031,7095,,,
"G4100050023001",,,,,"G4100050023001","G4100050023001","Oregon","41","410","Clackamas County","005","0050","023001",,,,,"Census Tract 230.01","Census Tract 230.01, Clackamas County, Oregon",,,,,3472,2946,308
"G4100050023002",,,,,"G4100050023002","G4100050023002","Oregon","41","410","Clackamas County","005","0050","023002",,,,,"Census Tract 230.02","Census Tract 230.02, Clackamas County, Oregon",,,,,3570,3154,304
"G4100050023100","G41000500231","G41000500231","G41000500231","G4100050023100","G4100050023100","G4100050023100","Oregon","41","410","Clackamas County","005","0050","023100","Tract  231","State: 41 County: 005 Tract: 231","Tract 231","Census Tract 231","Census Tract 231","Census Tract 231, Clackamas County, Oregon",2526,5026,5507,5934,6127,6131,503
